bodyPart,equipment,gifUrl,id,name,target
waist,medicine ball,https://gymvisual.com/img/p/4/7/4/5/4745.gif,14,assisted motion russian twist,abs
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0015.gif,15,assisted parallel close grip pull-up,lats
upper legs,assisted,https://gymvisual.com/img/p/4/7/4/7/4747.gif,16,assisted prone hamstring,hamstrings
upper legs,assisted,http://d205bpvrqc9yn1.cloudfront.net/1713.gif,1713,assisted prone lying quads stretch,quads
waist,assisted,https://gymvisual.com/img/p/7/4/2/8/7428.gif,1714,assisted prone rectus femoris stretch,abs
back,leverage machine,https://gymvisual.com/img/p/1/8/4/0/4/18404.gif,17,assisted pull-up,lats
chest,assisted,https://gymvisual.com/img/p/7/4/2/9/7429.gif,1716,assisted seated pectoralis major stretch with stability ball,pectorals
upper legs,assisted,https://gymvisual.com/img/p/7/4/2/6/7426.gif,1712,assisted side lying adductor stretch,adductors
waist,assisted,https://gymvisual.com/img/p/7/5/6/5/7565.gif,1758,assisted sit-up,abs
back,leverage machine,https://gymvisual.com/img/p/6/3/3/5/6335.gif,1431,assisted standing chin-up,lats
back,leverage machine,https://gymvisual.com/img/p/6/3/3/6/6336.gif,1432,assisted standing pull-up,lats
upper arms,assisted,https://gymvisual.com/img/p/4/7/4/9/4749.gif,18,assisted standing triceps extension (with towel),triceps
upper arms,leverage machine,https://gymvisual.com/img/p/1/1/6/8/4/11684.gif,19,assisted triceps dip (kneeling),triceps
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/2364.gif,2364,assisted wide-grip chest dip (kneeling),pectorals
cardio,body weight,https://gymvisual.com/img/p/1/2/9/4/4/12944.gif,3220,astride jumps (male),cardiovascular system
cardio,body weight,https://gymvisual.com/img/p/1/4/7/5/4/14754.gif,3672,back and forth step,cardiovascular system
back,stability ball,https://gymvisual.com/img/p/6/5/8/1/6581.gif,1314,back extension on exercise ball,spine
back,body weight,https://gymvisual.com/img/p/1/3/1/4/6/13146.gif,3297,back lever,upper back
back,body weight,https://gymvisual.com/img/p/2/1/7/4/8/21748.gif,1405,back pec stretch,lats
upper legs,body weight,https://gymvisual.com/img/p/6/7/0/8/6708.gif,1473,backward jump,quads
upper legs,body weight,https://gymvisual.com/img/p/2/9/3/0/5/29305.gif,20,balance board,quads
upper arms,band,https://gymvisual.com/img/p/5/6/8/1/5681.gif,968,band alternating biceps curl,biceps
waist,band,http://d205bpvrqc9yn1.cloudfront.net/0969.gif,969,band alternating v-up,abs
back,band,https://gymvisual.com/img/p/1/8/4/0/4/18404.gif,970,band assisted pull-up,lats
waist,band,http://d205bpvrqc9yn1.cloudfront.net/0971.gif,971,band assisted wheel rollerout,abs
chest,band,https://gymvisual.com/img/p/6/9/6/4/6964.gif,1254,band bench press,pectorals
upper legs,band,http://d205bpvrqc9yn1.cloudfront.net/0980.gif,980,band bent-over hip extension,glutes
waist,band,https://gymvisual.com/img/p/5/6/8/5/5685.gif,972,band bicycle crunch,abs
back,band,http://d205bpvrqc9yn1.cloudfront.net/0974.gif,974,band close-grip pulldown,lats
upper arms,band,http://d205bpvrqc9yn1.cloudfront.net/0975.gif,975,band close-grip push-up,triceps
upper arms,band,https://gymvisual.com/img/p/5/6/8/9/5689.gif,976,band concentration curl,biceps
back,band,https://gymvisual.com/img/p/1/2/4/5/3/12453.gif,3117,band fixed back close grip pulldown,lats
back,band,https://gymvisual.com/img/p/1/2/4/5/2/12452.gif,3116,band fixed back underhand pulldown,lats
shoulders,band,https://gymvisual.com/img/p/1/8/4/9/2/18492.gif,977,band front lateral raise,delts
shoulders,band,https://gymvisual.com/img/p/5/6/9/1/5691.gif,978,band front raise,delts
upper legs,band,https://gymvisual.com/img/p/6/6/6/9/6669.gif,1408,band hip lift,glutes
waist,band,https://gymvisual.com/img/p/1/7/6/4/4/17644.gif,979,band horizontal pallof press,abs
waist,band,http://d205bpvrqc9yn1.cloudfront.net/0981.gif,981,band jack knife sit-up,abs
back,band,https://gymvisual.com/img/p/1/8/4/0/2/18402.gif,983,band kneeling one arm pulldown,lats
waist,band,https://gymvisual.com/img/p/5/6/9/8/5698.gif,985,band kneeling twisting crunch,abs
upper legs,band,https://gymvisual.com/img/p/1/4/8/6/8/14868.gif,984,band lying hip internal rotation,glutes
waist,band,https://gymvisual.com/img/p/5/7/1/5/5715.gif,1002,band lying straight leg raise,abs
upper arms,band,https://gymvisual.com/img/p/5/6/9/9/5699.gif,986,band one arm overhead biceps curl,biceps
upper legs,band,https://gymvisual.com/img/p/5/7/0/0/5700.gif,987,band one arm single leg split squat,quads
back,band,https://gymvisual.com/img/p/5/7/0/1/5701.gif,988,band one arm standing low row,upper back
chest,band,https://gymvisual.com/img/p/5/7/0/2/5702.gif,989,band one arm twisting chest press,pectorals
back,band,https://gymvisual.com/img/p/1/8/4/0/3/18403.gif,990,band one arm twisting seated row,upper back
upper legs,band,https://gymvisual.com/img/p/2/5/8/3/5/25835.gif,991,band pull through,glutes
waist,band,http://d205bpvrqc9yn1.cloudfront.net/0992.gif,992,band push sit-up,abs
shoulders,band,https://gymvisual.com/img/p/5/7/0/6/5706.gif,993,band reverse fly,delts
lower arms,band,https://gymvisual.com/img/p/5/7/0/7/5707.gif,994,band reverse wrist curl,forearms
upper legs,band,https://gymvisual.com/img/p/5/7/0/9/5709.gif,996,band seated hip internal rotation,glutes
waist,band,https://gymvisual.com/img/p/1/1/6/2/7/11627.gif,1011,band seated twist,abs
shoulders,band,https://gymvisual.com/img/p/5/7/1/0/5710.gif,997,band shoulder press,delts
back,band,https://gymvisual.com/img/p/5/7/3/1/5731.gif,1018,band shrug,traps
upper arms,band,https://gymvisual.com/img/p/5/7/1/1/5711.gif,998,band side triceps extension,triceps
lower legs,band,https://gymvisual.com/img/p/5/7/1/2/5712.gif,999,band single leg calf raise,calves
lower legs,band,https://gymvisual.com/img/p/5/7/1/3/5713.gif,1000,band single leg reverse calf raise,calves
upper legs,band,https://gymvisual.com/img/p/5/7/1/4/5714.gif,1001,band single leg split squat,quads
upper legs,band,https://gymvisual.com/img/p/3/2/3/8/8/32388.gif,1004,band squat,glutes
upper legs,band,https://gymvisual.com/img/p/5/7/1/6/5716.gif,1003,band squat row,glutes
waist,band,https://gymvisual.com/img/p/1/8/3/9/9/18399.gif,1005,band standing crunch,abs
shoulders,band,https://gymvisual.com/img/p/1/8/4/9/3/18493.gif,1022,band standing rear delt row,delts
waist,band,https://gymvisual.com/img/p/5/7/2/0/5720.gif,1007,band standing twisting crunch,abs
upper legs,band,http://d205bpvrqc9yn1.cloudfront.net/1008.gif,1008,band step-up,glutes
upper legs,band,https://gymvisual.com/img/p/5/7/2/2/5722.gif,1009,band stiff leg deadlift,glutes
upper legs,band,https://gymvisual.com/img/p/5/7/3/6/5736.gif,1023,band straight back stiff leg deadlift,glutes
back,band,https://gymvisual.com/img/p/5/7/2/3/5723.gif,1010,band straight leg deadlift,spine
shoulders,band,https://gymvisual.com/img/p/5/7/2/5/5725.gif,1012,band twisting overhead press,delts
lower legs,band,http://d205bpvrqc9yn1.cloudfront.net/1369.gif,1369,band two legs calf raise - (band under both legs) v. 2,calves
back,band,https://gymvisual.com/img/p/5/7/2/6/5726.gif,1013,band underhand pulldown,lats
waist,band,http://d205bpvrqc9yn1.cloudfront.net/1014.gif,1014,band v-up,abs
waist,band,https://gymvisual.com/img/p/5/7/2/8/5728.gif,1015,band vertical pallof press,abs
lower arms,band,https://gymvisual.com/img/p/5/7/2/9/5729.gif,1016,band wrist curl,forearms
shoulders,band,http://d205bpvrqc9yn1.cloudfront.net/1017.gif,1017,band y-raise,delts
upper arms,barbell,https://gymvisual.com/img/p/4/7/5/4/4754.gif,23,barbell alternate biceps curl,biceps
upper legs,barbell,https://gymvisual.com/img/p/1/4/8/7/0/14870.gif,24,barbell bench front squat,quads
chest,barbell,https://gymvisual.com/img/p/2/9/6/9/9/29699.gif,25,barbell bench press,pectorals
upper legs,barbell,https://gymvisual.com/img/p/8/9/1/7/8917.gif,26,barbell bench squat,quads
back,barbell,https://gymvisual.com/img/p/3/3/0/9/8/33098.gif,1316,barbell bent arm pullover,lats
back,barbell,https://gymvisual.com/img/p/8/9/3/4/8934.gif,27,barbell bent over row,upper back
upper arms,barbell,https://gymvisual.com/img/p/1/0/4/7/4/10474.gif,2407,barbell biceps curl (with arm blaster),biceps
upper legs,barbell,https://gymvisual.com/img/p/1/6/9/1/0/16910.gif,28,barbell clean and press,quads
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0029.gif,29,barbell clean-grip front squat,glutes
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0030.gif,30,barbell close-grip bench press,triceps
upper arms,barbell,https://gymvisual.com/img/p/2/6/2/4/9/26249.gif,31,barbell curl,biceps
upper legs,barbell,https://gymvisual.com/img/p/2/9/2/7/2/29272.gif,32,barbell deadlift,glutes
chest,barbell,https://gymvisual.com/img/p/1/1/6/3/3/11633.gif,33,barbell decline bench press,pectorals
back,barbell,https://gymvisual.com/img/p/4/7/6/5/4765.gif,34,barbell decline bent arm pullover,lats
upper arms,barbell,https://gymvisual.com/img/p/1/4/8/7/1/14871.gif,35,barbell decline close grip to skull press,triceps
chest,barbell,https://gymvisual.com/img/p/6/5/2/2/6522.gif,1255,barbell decline pullover,pectorals
chest,barbell,http://d205bpvrqc9yn1.cloudfront.net/0036.gif,36,barbell decline wide-grip press,pectorals
back,barbell,http://d205bpvrqc9yn1.cloudfront.net/0037.gif,37,barbell decline wide-grip pullover,lats
upper arms,barbell,https://gymvisual.com/img/p/1/4/8/7/2/14872.gif,38,barbell drag curl,biceps
lower legs,barbell,https://gymvisual.com/img/p/6/6/3/3/6633.gif,1370,barbell floor calf raise,calves
upper legs,barbell,https://gymvisual.com/img/p/1/8/4/2/5/18425.gif,39,barbell front chest squat,glutes
shoulders,barbell,https://gymvisual.com/img/p/1/1/6/3/9/11639.gif,41,barbell front raise,delts
chest,barbell,https://gymvisual.com/img/p/4/7/7/1/4771.gif,40,barbell front raise and pullover,pectorals
upper legs,barbell,https://gymvisual.com/img/p/1/4/9/7/1/14971.gif,42,barbell front squat,glutes
upper legs,barbell,https://gymvisual.com/img/p/6/6/9/7/6697.gif,43,barbell full squat,glutes
upper legs,barbell,https://gymvisual.com/img/p/6/6/9/6/6696.gif,1461,barbell full squat (back pov),glutes
upper legs,barbell,https://gymvisual.com/img/p/6/6/9/7/6697.gif,1462,barbell full squat (side pov),glutes
upper legs,barbell,https://gymvisual.com/img/p/1/0/0/9/3/10093.gif,1545,barbell full zercher squat,glutes
upper legs,barbell,https://gymvisual.com/img/p/1/4/1/5/8/14158.gif,1409,barbell glute bridge,glutes
upper legs,barbell,https://gymvisual.com/img/p/1/4/1/5/8/14158.gif,3562,barbell glute bridge two legs on bench (male),glutes
upper legs,barbell,https://gymvisual.com/img/p/8/9/0/7/8907.gif,44,barbell good morning,hamstrings
chest,barbell,https://gymvisual.com/img/p/4/7/7/6/4776.gif,45,barbell guillotine bench press,pectorals
upper legs,barbell,https://gymvisual.com/img/p/1/1/7/3/9/11739.gif,46,barbell hack squat,glutes
upper legs,barbell,https://gymvisual.com/img/p/6/3/4/0/6340.gif,1436,barbell high bar squat,glutes
chest,barbell,https://gymvisual.com/img/p/1/0/3/9/8/10398.gif,47,barbell incline bench press,pectorals
upper arms,barbell,https://gymvisual.com/img/p/1/1/6/7/9/11679.gif,1719,barbell incline close grip bench press,triceps
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0048.gif,48,barbell incline reverse-grip press,triceps
back,barbell,https://gymvisual.com/img/p/1/1/6/6/3/11663.gif,49,barbell incline row,upper back
chest,barbell,https://gymvisual.com/img/p/4/7/8/1/4781.gif,50,barbell incline shoulder raise,serratus anterior
upper legs,barbell,https://gymvisual.com/img/p/1/4/7/3/0/14730.gif,51,barbell jefferson squat,glutes
upper arms,barbell,https://gymvisual.com/img/p/1/4/8/7/3/14873.gif,52,barbell jm bench press,triceps
upper legs,barbell,https://gymvisual.com/img/p/4/7/8/4/4784.gif,53,barbell jump squat,glutes
upper legs,barbell,https://gymvisual.com/img/p/8/9/2/0/8920.gif,1410,barbell lateral lunge,glutes
upper legs,barbell,https://gymvisual.com/img/p/9/2/0/5/9205.gif,1435,barbell low bar squat,glutes
upper legs,barbell,https://gymvisual.com/img/p/1/1/6/4/0/11640.gif,54,barbell lunge,glutes
upper arms,barbell,https://gymvisual.com/img/p/7/5/2/4/7524.gif,1720,barbell lying back of the head tricep extension,triceps
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0055.gif,55,barbell lying close-grip press,triceps
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0056.gif,56,barbell lying close-grip triceps extension,triceps
upper arms,barbell,https://gymvisual.com/img/p/4/7/8/8/4788.gif,57,barbell lying extension,triceps
upper legs,barbell,https://gymvisual.com/img/p/4/7/8/9/4789.gif,58,barbell lying lifting (on hip),glutes
upper arms,barbell,https://gymvisual.com/img/p/4/7/9/0/4790.gif,59,barbell lying preacher curl,biceps
upper arms,barbell,https://gymvisual.com/img/p/1/6/9/0/8/16908.gif,61,barbell lying triceps extension,triceps
upper arms,barbell,https://gymvisual.com/img/p/1/8/2/4/3/18243.gif,60,barbell lying triceps extension skull crusher,triceps
upper legs,barbell,https://gymvisual.com/img/p/2/4/9/6/4/24964.gif,63,barbell narrow stance squat,glutes
back,barbell,https://gymvisual.com/img/p/4/7/9/5/4795.gif,64,barbell one arm bent over row,upper back
upper arms,barbell,https://gymvisual.com/img/p/4/7/9/6/4796.gif,65,barbell one arm floor press,triceps
upper legs,barbell,https://gymvisual.com/img/p/2/0/4/6/1/20461.gif,66,barbell one arm side deadlift,glutes
shoulders,barbell,https://gymvisual.com/img/p/4/7/9/8/4798.gif,67,barbell one arm snatch,delts
upper legs,barbell,https://gymvisual.com/img/p/4/7/9/9/4799.gif,68,barbell one leg squat,quads
upper legs,barbell,https://gymvisual.com/img/p/3/3/2/0/2/33202.gif,69,barbell overhead squat,quads
lower arms,barbell,https://gymvisual.com/img/p/1/1/7/7/1/11771.gif,1411,barbell palms down wrist curl over a bench,forearms
lower arms,barbell,https://gymvisual.com/img/p/1/1/7/7/2/11772.gif,1412,barbell palms up wrist curl over a bench,forearms
back,barbell,https://gymvisual.com/img/p/1/2/4/4/8/12448.gif,3017,barbell pendlay row,upper back
upper arms,barbell,https://gymvisual.com/img/p/7/5/5/5/7555.gif,1751,barbell pin presses,triceps
upper arms,barbell,https://gymvisual.com/img/p/2/8/4/1/0/28410.gif,70,barbell preacher curl,biceps
waist,barbell,http://d205bpvrqc9yn1.cloudfront.net/0071.gif,71,barbell press sit-up,abs
upper arms,barbell,https://gymvisual.com/img/p/1/1/6/6/6/11666.gif,72,barbell prone incline curl,biceps
back,barbell,https://gymvisual.com/img/p/2/1/6/0/6/21606.gif,73,barbell pullover,lats
back,barbell,https://gymvisual.com/img/p/2/3/5/4/4/23544.gif,22,barbell pullover to press,lats
upper legs,barbell,https://gymvisual.com/img/p/1/3/1/3/4/13134.gif,74,barbell rack pull,glutes
shoulders,barbell,https://gymvisual.com/img/p/1/1/7/3/8/11738.gif,75,barbell rear delt raise,delts
shoulders,barbell,https://gymvisual.com/img/p/4/8/0/7/4807.gif,76,barbell rear delt row,delts
upper legs,barbell,https://gymvisual.com/img/p/8/9/1/8/8918.gif,78,barbell rear lunge,glutes
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0077.gif,77,barbell rear lunge v. 2,glutes
lower arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0079.gif,79,barbell revers wrist curl v. 2,forearms
upper arms,barbell,https://gymvisual.com/img/p/8/8/0/5/8805.gif,2187,barbell reverse close-grip bench press,triceps
upper arms,barbell,https://gymvisual.com/img/p/1/1/6/4/1/11641.gif,80,barbell reverse curl,biceps
back,barbell,https://gymvisual.com/img/p/1/0/6/4/1/10641.gif,118,barbell reverse grip bent over row,upper back
chest,barbell,https://gymvisual.com/img/p/6/5/2/3/6523.gif,1256,barbell reverse grip decline bench press,pectorals
chest,barbell,https://gymvisual.com/img/p/6/5/2/4/6524.gif,1257,barbell reverse grip incline bench press,pectorals
back,barbell,https://gymvisual.com/img/p/6/5/8/3/6583.gif,1317,barbell reverse grip incline bench row,upper back
upper arms,barbell,https://gymvisual.com/img/p/7/5/2/5/7525.gif,1721,barbell reverse grip skullcrusher,triceps
upper arms,barbell,https://gymvisual.com/img/p/1/1/6/6/8/11668.gif,81,barbell reverse preacher curl,biceps
lower arms,barbell,https://gymvisual.com/img/p/1/4/8/7/4/14874.gif,82,barbell reverse wrist curl,forearms
waist,barbell,http://d205bpvrqc9yn1.cloudfront.net/0084.gif,84,barbell rollerout,abs
waist,barbell,http://d205bpvrqc9yn1.cloudfront.net/0083.gif,83,barbell rollerout from bench,abs
upper legs,barbell,https://gymvisual.com/img/p/1/4/1/6/6/14166.gif,85,barbell romanian deadlift,glutes
shoulders,barbell,https://gymvisual.com/img/p/1/1/7/1/0/11710.gif,86,barbell seated behind head military press,delts
shoulders,barbell,https://gymvisual.com/img/p/4/8/2/1/4821.gif,87,barbell seated bradford rocky press,delts
lower legs,barbell,https://gymvisual.com/img/p/1/1/7/6/6/11766.gif,88,barbell seated calf raise,calves
lower legs,barbell,https://gymvisual.com/img/p/1/1/7/6/6/11766.gif,1371,barbell seated calf raise,calves
upper arms,barbell,https://gymvisual.com/img/p/7/5/2/2/7522.gif,1718,barbell seated close grip behind neck triceps extension,triceps
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0089.gif,89,barbell seated close-grip concentration curl,biceps
upper legs,barbell,https://gymvisual.com/img/p/1/1/7/0/9/11709.gif,90,barbell seated good morning,glutes
shoulders,barbell,https://gymvisual.com/img/p/1/1/7/1/1/11711.gif,91,barbell seated overhead press,delts
upper arms,barbell,https://gymvisual.com/img/p/1/1/7/1/3/11713.gif,92,barbell seated overhead triceps extension,triceps
waist,barbell,https://gymvisual.com/img/p/4/8/2/9/4829.gif,94,barbell seated twist,abs
back,barbell,https://gymvisual.com/img/p/1/1/6/4/2/11642.gif,95,barbell shrug,traps
waist,barbell,http://d205bpvrqc9yn1.cloudfront.net/0096.gif,96,barbell side bent v. 2,abs
upper legs,barbell,https://gymvisual.com/img/p/4/8/3/5/4835.gif,98,barbell side split squat,quads
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0097.gif,97,barbell side split squat v. 2,quads
upper legs,barbell,https://gymvisual.com/img/p/1/1/7/3/5/11735.gif,1756,barbell single leg deadlift,glutes
upper legs,barbell,https://gymvisual.com/img/p/8/9/1/9/8919.gif,99,barbell single leg split squat,quads
waist,barbell,https://gymvisual.com/img/p/1/4/5/9/7/14597.gif,2799,barbell sitted alternate leg raise,abs
waist,barbell,https://gymvisual.com/img/p/1/4/5/9/8/14598.gif,2800,barbell sitted alternate leg raise (female),abs
shoulders,barbell,https://gymvisual.com/img/p/1/2/6/1/1/12611.gif,100,barbell skier,delts
upper legs,barbell,https://gymvisual.com/img/p/4/8/3/9/4839.gif,101,barbell speed squat,glutes
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/2810.gif,2810,barbell split squat v. 2,quads
upper legs,barbell,https://gymvisual.com/img/p/4/8/4/0/4840.gif,102,barbell squat (on knees),quads
upper legs,barbell,https://gymvisual.com/img/p/1/4/5/9/5/14595.gif,2798,barbell squat jump step rear lunge,quads
waist,barbell,http://d205bpvrqc9yn1.cloudfront.net/0103.gif,103,barbell standing ab rollerout,abs
lower arms,barbell,https://gymvisual.com/img/p/2/8/2/6/1/28261.gif,104,barbell standing back wrist curl,forearms
shoulders,barbell,https://gymvisual.com/img/p/4/8/4/3/4843.gif,105,barbell standing bradford press,delts
lower legs,barbell,https://gymvisual.com/img/p/1/1/7/5/8/11758.gif,1372,barbell standing calf raise,calves
upper arms,barbell,https://gymvisual.com/img/p/1/1/7/8/3/11783.gif,106,barbell standing close grip curl,biceps
shoulders,barbell,https://gymvisual.com/img/p/1/4/8/7/6/14876.gif,1456,barbell standing close grip military press,delts
upper arms,barbell,https://gymvisual.com/img/p/1/0/4/8/7/10487.gif,2414,barbell standing concentration curl,biceps
shoulders,barbell,https://gymvisual.com/img/p/1/1/7/7/8/11778.gif,107,barbell standing front raise over head,delts
lower legs,barbell,https://gymvisual.com/img/p/4/8/4/6/4846.gif,108,barbell standing leg calf raise,calves
upper arms,barbell,https://gymvisual.com/img/p/1/1/7/1/2/11712.gif,109,barbell standing overhead triceps extension,triceps
upper arms,barbell,https://gymvisual.com/img/p/4/8/4/8/4848.gif,110,barbell standing reverse grip curl,biceps
lower legs,barbell,https://gymvisual.com/img/p/4/8/4/9/4849.gif,111,barbell standing rocking leg calf raise,calves
waist,barbell,https://gymvisual.com/img/p/9/8/3/3/9833.gif,112,barbell standing twist,abs
upper arms,barbell,https://gymvisual.com/img/p/1/1/6/0/0/11600.gif,1629,barbell standing wide grip biceps curl,biceps
shoulders,barbell,https://gymvisual.com/img/p/1/4/8/7/7/14877.gif,1457,barbell standing wide military press,delts
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0113.gif,113,barbell standing wide-grip curl,biceps
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0114.gif,114,barbell step-up,glutes
upper legs,barbell,https://gymvisual.com/img/p/4/8/5/3/4853.gif,115,barbell stiff leg good morning,glutes
upper legs,barbell,https://gymvisual.com/img/p/1/8/3/0/2/18302.gif,116,barbell straight leg deadlift,hamstrings
upper legs,barbell,https://gymvisual.com/img/p/2/1/8/6/1/21861.gif,117,barbell sumo deadlift,glutes
shoulders,barbell,https://gymvisual.com/img/p/1/3/1/5/4/13154.gif,3305,barbell thruster,delts
shoulders,barbell,https://gymvisual.com/img/p/8/9/2/1/8921.gif,120,barbell upright row,delts
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/0119.gif,119,barbell upright row v. 2,delts
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/0121.gif,121,barbell upright row v. 3,delts
chest,barbell,https://gymvisual.com/img/p/3/3/8/9/5/33895.gif,122,barbell wide bench press,pectorals
chest,barbell,https://gymvisual.com/img/p/6/5/2/5/6525.gif,1258,barbell wide reverse grip bench press,pectorals
upper legs,barbell,https://gymvisual.com/img/p/1/1/6/7/8/11678.gif,124,barbell wide squat,quads
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/0123.gif,123,barbell wide-grip upright row,delts
lower arms,barbell,https://gymvisual.com/img/p/1/4/8/7/8/14878.gif,126,barbell wrist curl,forearms
lower arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0125.gif,125,barbell wrist curl v. 2,forearms
upper legs,barbell,https://gymvisual.com/img/p/9/0/9/0/9090.gif,127,barbell zercher squat,glutes
upper legs,body weight,https://gymvisual.com/img/p/1/2/9/3/6/12936.gif,3212,basic toe touch (male),glutes
shoulders,rope,https://gymvisual.com/img/p/1/8/6/1/2/18612.gif,128,battling ropes,delts
cardio,body weight,https://gymvisual.com/img/p/3/2/3/6/4/32364.gif,3360,bear crawl,cardiovascular system
chest,assisted,https://gymvisual.com/img/p/6/5/2/6/6526.gif,1259,behind head chest stretch,pectorals
upper arms,body weight,https://gymvisual.com/img/p/1/0/3/8/6/10386.gif,129,bench dip (knees bent),triceps
upper arms,body weight,https://gymvisual.com/img/p/2/1/6/1/8/21618.gif,1399,bench dip on floor,triceps
upper legs,body weight,https://gymvisual.com/img/p/4/8/6/8/4868.gif,130,bench hip extension,glutes
back,body weight,https://gymvisual.com/img/p/1/2/4/4/9/12449.gif,3019,bench pull-ups,lats
upper legs,body weight,https://gymvisual.com/img/p/1/4/7/3/8/14738.gif,3639,bent knee lying twist (male),glutes
upper arms,body weight,https://gymvisual.com/img/p/7/6/2/9/7629.gif,1770,biceps leg concentration curl,biceps
upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0139.gif,139,biceps narrow pull-ups,biceps
upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0140.gif,140,biceps pull-up,biceps
upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0137.gif,137,body-up,triceps
upper legs,body weight,https://gymvisual.com/img/p/1/4/1/1/2/14112.gif,3543,bodyweight drop jump squat,glutes
waist,body weight,https://gymvisual.com/img/p/1/4/1/1/3/14113.gif,3544,bodyweight incline side plank,abs
upper arms,body weight,https://gymvisual.com/img/p/1/4/8/8/1/14881.gif,1771,bodyweight kneeling triceps extension,triceps
upper arms,body weight,https://gymvisual.com/img/p/7/6/3/0/7630.gif,1769,bodyweight side lying biceps curl,biceps
back,body weight,https://gymvisual.com/img/p/1/2/7/2/6/12726.gif,3168,bodyweight squatting row,upper back
back,body weight,https://gymvisual.com/img/p/1/2/7/2/6/12726.gif,3167,bodyweight squatting row (with towel),upper back
lower legs,body weight,https://gymvisual.com/img/p/6/6/3/6/6636.gif,1373,bodyweight standing calf raise,calves
back,body weight,https://gymvisual.com/img/p/1/2/6/9/5/12695.gif,3156,bodyweight standing close-grip one arm row,upper back
back,body weight,https://gymvisual.com/img/p/1/2/6/9/7/12697.gif,3158,bodyweight standing close-grip row,upper back
back,body weight,https://gymvisual.com/img/p/1/2/6/9/9/12699.gif,3162,bodyweight standing one arm row,upper back
back,body weight,https://gymvisual.com/img/p/1/2/7/0/1/12701.gif,3161,bodyweight standing one arm row (with towel),upper back
